Título,Ano,Duração,Gênero,Nota IMDb
O Rei Leão,(1994),88 min,"Animation, Adventure, Drama",8.5
A Outra História Americana,(1998),119 min,"Crime, Drama",8.5
O Pianista,(2002),150 min,"Biography, Drama, Music",8.5
Os Suspeitos,(1995),106 min,"Crime, Drama, Mystery",8.5
Intocáveis,(2011),112 min,"Biography, Comedy, Drama",8.5
Túmulo dos Vagalumes,(1988),89 min,"Animation, Drama, War",8.5
Cinema Paradiso,(1988),155 min,"Drama, Romance",8.5
Tempos Modernos,(1936),87 min,"Comedy, Drama, Romance",8.5
Luzes da Cidade,(1931),87 min,"Comedy, Drama, Romance",8.5
96,(II) (2018),158 min,"Drama, Romance",8.5
Vingadores: Ultimato,(2019),181 min,"Action, Adventure, Drama",8.4
Apocalypse Now,(1979),147 min,"Drama, Mystery, War",8.4
Homem-Aranha: Através do Aranhaverso,(2023),140 min,"Animation, Action, Adventure",9.1
O Senhor dos Anéis: O Retorno do Rei,(2003),201 min,"Action, Adventure, Drama",9.0
O Senhor dos Anéis: A Sociedade do Anel,(2001),178 min,"Action, Adventure, Drama",8.8
O Senhor dos Anéis: As Duas Torres,(2002),179 min,"Action, Adventure, Drama",8.8
Star Wars: Episódio V - O Império Contra-Ataca,(1980),124 min,"Action, Adventure, Fantasy",8.7
À Espera de um Milagre,(1999),189 min,"Crime, Drama, Fantasy",8.6
Star Wars: Episódio IV - Uma Nova Esperança,(1977),121 min,"Action, Adventure, Fantasy",8.6
A Viagem de Chihiro,(2001),125 min,"Animation, Adventure, Family",8.6
A Felicidade Não se Compra,(1946),130 min,"Drama, Family, Fantasy",8.6
Homem-Aranha: No Aranhaverso,(2018),117 min,"Animation, Action, Adventure",8.4
Your Name.,(2016),106 min,"Animation, Drama, Fantasy",8.4
Viva: A Vida é uma Festa,(I) (2017),105 min,"Animation, Adventure, Comedy",8.4
"Star Wars, Episódio VI: O Retorno do Jedi",(1983),131 min,"Action, Adventure, Fantasy",8.3
Toy Story,(1995),81 min,"Animation, Adventure, Comedy",8.3
Toy Story 3,(2010),103 min,"Animation, Adventure, Comedy",8.3
Princesa Mononoke,(1997),134 min,"Animation, Action, Adventure",8.3
Homem-Aranha: Sem Volta para Casa,(2021),148 min,"Action, Adventure, Fantasy",8.2
O Castelo Animado,(2004),119 min,"Animation, Adventure, Family",8.2
O Labirinto do Fauno,(2006),118 min,"Drama, Fantasy, War",8.2
Monty Python em Busca do Cálice Sagrado,(1975),91 min,"Adventure, Comedy, Fantasy",8.2
Demon Slayer: Mugen Train - O Filme,(2020),117 min,"Animation, Action, Adventure",8.2
Tumbbad,(2018),104 min,"Drama, Fantasy, Horror",8.2
Klaus,(2019),96 min,"Animation, Adventure, Comedy",8.2
Piratas do Caribe: A Maldição do Pérola Negra,(2003),143 min,"Action, Adventure, Fantasy",8.1
Harry Potter e as Relíquias da Morte - Parte 2,(2011),130 min,"Adventure, Family, Fantasy",8.1
Ratatouille,(2007),111 min,"Animation, Adventure, Comedy",8.1
O Mágico de Oz,(1939),102 min,"Adventure, Family, Fantasy",8.1
Divertida Mente,(I) (2015),95 min,"Animation, Adventure, Comedy",8.1
Como Treinar o Seu Dragão,(2010),98 min,"Animation, Action, Adventure",8.1
Monstros S.A.,(2001),92 min,"Animation, Adventure, Comedy",8.1
Meu Amigo Totoro,(1988),86 min,"Animation, Comedy, Family",8.1
O Sétimo Selo,(1957),96 min,"Drama, Fantasy",8.1
Underground: Mentiras de Guerra,(1995),170 min,"Comedy, Drama, Fantasy",8.1
Crianças Lobo,(2012),117 min,"Animation, Drama, Family",8.1
Vida Cigana,(1988),142 min,"Comedy, Crime, Drama",8.1
OMG: Oh My God!,(2012),125 min,"Comedy, Drama, Fantasy",8.1
A Princesa Prometida,(1987),98 min,"Adventure, Comedy, Family",8.0
Aladdin,(1992),90 min,"Animation, Adventure, Comedy",8.0
A Bela e a Fera,(1991),84 min,"Animation, Family, Fantasy",8.0
Akira,(1988),124 min,"Animation, Action, Drama",8.0
Soul,(2020),100 min,"Animation, Adventure, Comedy",8.0
Feitiço do Tempo,(1993),101 min,"Comedy, Drama, Fantasy",8.0
Peixe Grande e suas Histórias Maravilhosas,(2003),125 min,"Adventure, Drama, Fantasy",8.0
Pink Floyd - The Wall,(1982),95 min,"Drama, Fantasy, Music",8.0
O Castelo no Céu,(1986),125 min,"Animation, Adventure, Family",8.0
Asas do Desejo,(1987),128 min,"Drama, Fantasy, Romance",8.0
Wolfwalkers,(2020),103 min,"Animation, Action, Adventure",8.0
O Conto da Princesa Kaguya,(2013),137 min,"Animation, Drama, Family",8.0
A Canção do Mar,(2014),93 min,"Animation, Adventure, Drama",8.0
O Anjo Exterminador,(1962),95 min,"Drama, Fantasy",8.0
Alien - O 8º Passageiro,(1979),117 min,"Horror, Sci-Fi",8.5
Psicose,(1960),109 min,"Horror, Mystery, Thriller",8.5
O Iluminado,(1980),146 min,"Drama, Horror",8.4
O Enigma de Outro Mundo,(1982),109 min,"Horror, Mystery, Sci-Fi",8.2
Tumbbad,(2018),104 min,"Drama, Fantasy, Horror",8.2
O Exorcista,(1973),122 min,Horror,8.1
As Diabólicas,(1955),117 min,"Crime, Drama, Horror",8.1
O Bebê de Rosemary,(1968),137 min,"Drama, Horror",8.0
O que Terá Acontecido a Baby Jane?,(1962),134 min,"Drama, Horror, Thriller",8.0
O Gabinete do Dr. Caligari,(1920),76 min,"Horror, Mystery, Thriller",8.0
The Blue Elephant,(2014),170 min,"Drama, Horror, Mystery",8.0
Todo Mundo Quase Morto,(2004),99 min,"Comedy, Horror",7.9
Nosferatu,(1922),94 min,"Fantasy, Horror",7.9
Deixa Ela Entrar,(2008),114 min,"Drama, Fantasy, Horror",7.9
King Kong,(1933),100 min,"Adventure, Horror, Sci-Fi",7.9
O Predador,(1987),107 min,"Action, Adventure, Horror",7.8
Eu Vi o Diabo,(2010),144 min,"Action, Crime, Drama",7.8
Despertar dos Mortos,(1978),127 min,"Horror, Thriller",7.8
A Noite dos Mortos-Vivos,(1968),96 min,"Horror, Thriller",7.8
Monstros,(1932),64 min,"Drama, Horror",7.8
Frankenstein,(1931),70 min,"Drama, Horror, Sci-Fi",7.8
Os Inocentes,(1961),100 min,Horror,7.8
A Noiva de Frankenstein,(1935),75 min,"Drama, Horror, Sci-Fi",7.8
Corra!,(I) (2017),104 min,"Horror, Mystery, Thriller",7.7
Uma Noite Alucinante 2,(1987),84 min,"Comedy, Horror",7.7
Halloween: A Noite do Terror,(1978),91 min,"Horror, Thriller",7.7
Vampiros de Almas,(1956),80 min,"Drama, Horror, Sci-Fi",7.7
Psicopata Americano,(2000),102 min,"Crime, Drama, Horror",7.6
Jogos Mortais,(2004),103 min,"Horror, Mystery, Thriller",7.6
Invasão Zumbi,(2016),118 min,"Action, Horror, Thriller",7.6
Zumbilândia,(2009),88 min,"Action, Comedy, Horror",7.6
Os Pássaros,(1963),119 min,"Drama, Horror, Mystery",7.6
A Mosca,(1986),96 min,"Drama, Horror, Sci-Fi",7.6
Os Outros,(2001),101 min,"Horror, Mystery, Thriller",7.6
O que Fazemos nas Sombras,(2014),86 min,"Comedy, Horror",7.6
A Pele que Habito,(2011),120 min,"Drama, Horror, Mystery",7.6
A Tortura do Medo,(1960),101 min,"Drama, Horror, Thriller",7.6
Os Olhos Sem Rosto,(1960),90 min,"Drama, Horror",7.6
Repulsa ao Sexo,(1965),105 min,"Drama, Horror, Thriller",7.6
Caçador de Vampiros D: Sede de Sangue,(2000),103 min,"Animation, Action, Drama",7.6
Plano-Sequência dos Mortos,(2017),96 min,"Comedy, Drama, Horror",7.6
O Homem Invisível,(1933),71 min,"Horror, Sci-Fi",7.6
Um Lugar Silencioso,(2018),90 min,"Drama, Horror, Sci-Fi",7.5
Invocação do Mal,(2013),112 min,"Horror, Mystery, Thriller",7.5
O Corvo,(1994),102 min,"Action, Crime, Drama",7.5
Extermínio,(2002),113 min,"Drama, Horror, Sci-Fi",7.5
Entrevista com o Vampiro,(1994),123 min,"Drama, Fantasy, Horror",7.5
O Homem de Palha,(1973),88 min,"Horror, Mystery, Thriller",7.5
Um Lobisomem Americano em Londres,(1981),97 min,"Comedy, Horror",7.5
Tucker e Dale Contra o Mal,(2010),89 min,"Comedy, Horror",7.5
Forrest Gump: O Contador de Histórias,(1994),142 min,"Drama, Romance",8.8
A Vida é Bela,(1997),116 min,"Comedy, Drama, Romance",8.6
A Felicidade Não se Compra,(1946),130 min,"Drama, Family, Fantasy",8.6
Sita Ramam,(2022),163 min,"Action, Drama, Mystery",8.6
Casablanca,(1942),102 min,"Drama, Romance, War",8.5
Cinema Paradiso,(1988),155 min,"Drama, Romance",8.5
Tempos Modernos,(1936),87 min,"Comedy, Drama, Romance",8.5
Luzes da Cidade,(1931),87 min,"Comedy, Drama, Romance",8.5
96,(II) (2018),158 min,"Drama, Romance",8.5
Your Name.,(2016),106 min,"Animation, Drama, Fantasy",8.4
Coração Indefeso,(2020),101 min,"Comedy, Drama, Romance",8.4
Gênio Indomável,(1997),126 min,"Drama, Romance",8.3
Brilho Eterno de uma Mente sem Lembranças,(2004),108 min,"Drama, Romance, Sci-Fi",8.3
O Fabuloso Destino de Amélie Poulain,(2001),122 min,"Comedy, Romance",8.3
Um Corpo que Cai,(1958),128 min,"Mystery, Romance, Thriller",8.3
Cantando na Chuva,(1952),103 min,"Comedy, Musical, Romance",8.3
